file: cl_flux_number.fits, z bin: all, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.00368534 -0.00068144  0.00227755], A = -0.0006814443411226044 (+0.0029589949559681765, -0.0030038933696199957)

file: cl_flux_number.fits, z bin: all, includes first ell: False, [0.16,0.5,0.84] quantiles: [-0.0065668  -0.00348335 -0.00031049], A = -0.003483352161967675 (+0.0031728577493185615, -0.0030834457421693466)

file: cl_flux_number.fits, z bin: 0, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.00584903  0.00033018  0.00644547], A = 0.00033018480861633185 (+0.0061152883944428586, -0.006179212392969418)

file: cl_flux_number.fits, z bin: 1, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.01274044 -0.0062755   0.00024159], A = -0.006275498302293415 (+0.006517090568520076, -0.0064649462606239366)

file: cl_flux_number.fits, z bin: 2, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.00029483  0.00910479  0.018529  ], A = 0.009104787331398448 (+0.009424214233287027, -0.009399615927898982)

file: cl_flux_number.fits, z bin: 3, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.00788747  0.00341506  0.01447052], A = 0.0034150571284059347 (+0.011055462646351093, -0.011302527134503885)

file: cl_flux_number.fits, z bin: 4, includes first ell: True, [0.16,0.5,0.84] quantiles: [-1.26906287e-02 -6.27458883e-05  1.19776070e-02], A = -6.274588827203395e-05 (+0.012040352927459304, -0.012627882783665285)

file: cl_flux_number.fits, z bin: 5, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.03822076 -0.02103243 -0.0037732 ], A = -0.021032433378559152 (+0.01725923760253069, -0.017188324889007005)

file: cl_flux_number.fits, z bin: 6, includes first ell: True, [0.16,0.5,0.84] quantiles: [0.00433392 0.01196473 0.01949113], A = 0.011964727490059756 (+0.007526398396919392, -0.007630810666122967)

file: cl_flux_number.fits, z bin: 7, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.02257758 -0.00728604  0.00820398], A = -0.007286038517593058 (+0.015490016121240235, -0.015291543595422796)

file: cl_flux_number.fits, z bin: 8, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.0058574   0.01724372  0.04044129], A = 0.017243717295349396 (+0.023197575611339546, -0.023101118484433254)

file: cl_flux_number.fits, z bin: 9, includes first ell: True, [0.16,0.5,0.84] quantiles: [-0.25750475 -0.13049816  0.00098458], A = -0.13049815724623687 (+0.1314827374755563, -0.1270065960250535)

file: cl_flux_number.fits, z bin: 10, includes first ell: True, [0.16,0.5,0.84] quantiles: [197.68260108 197.68260108 197.68260108], A = 197.68260107792526 (+1.0842882147699129e-09, -1.387434167554602e-09)

file: cl_flux_number.fits, z bin: 11, includes first ell: True, [0.16,0.5,0.84] quantiles: [197.68260108 197.68260108 197.68260108], A = 197.68260107800015 (+3.9878500501799863e-10, -1.778289515641518e-09)

file: cl_flux_number.fits, z bin: 0, includes first ell: False, [0.16,0.5,0.84] quantiles: [-0.01081429 -0.00433314  0.00200178], A = -0.004333142845431289 (+0.006334919141888494, -0.006481149200230348)

file: cl_flux_number.fits, z bin: 1, includes first ell: False, [0.16,0.5,0.84] quantiles: [-0.01411141 -0.00726341 -0.00048573], A = -0.007263411814113529 (+0.0067776768700961885, -0.006847998275653921)

file: cl_flux_number.fits, z bin: 2, includes first ell: False, [0.16,0.5,0.84] quantiles: [-0.00152208  0.00819908  0.01770038], A = 0.00819908451562892 (+0.00950129709972166, -0.009721164869671383)

