# Flux, l2, bin, A_mean, A_std

number True all -0.0004979754701450466 0.003027011818685346

number True 0 0.0003125178381960791 0.006130077101934011

number True 1 -0.006204336350037638 0.006481062452710473

number True 2 0.009632924341277308 0.009362639202675525

number True 3 0.003523003244101466 0.011060480311679072

number True 4 -0.0003141913065154995 0.012305658610297268

number True 5 -0.020407937566433904 0.016923681327942808

number True 6 0.011869701153701109 0.007624690536004633

number True 7 -0.006501143431753502 0.01543923744082777

number True 8 0.016774780720994472 0.02153146237625307

number True 9 -0.025927863855964926 0.026733862084367878

number True 10 -0.2561489981130911 0.12675518102113756

number True 11 -0.890604739531973 0.30383423616935357

number False all -0.0024971053108290915 0.0031662057542111433

number False 0 -0.0044124481072051235 0.006424080019630469

number False 1 -0.007246590326467128 0.006673097778053362

number False 2 0.008263986873639974 0.00941407932381777

number False 3 0.0008046832340004397 0.011202858631122383

number False 4 -0.008532336683990619 0.012714307288880875

number False 5 -0.024826122738638618 0.017459219356036046

number False 6 -0.0024519233389295016 0.008038275907958229

number False 7 -0.009902740840164022 0.01558809108032453

number False 8 0.009663944860956538 0.0216092207580519

number False 9 0.001151481994969492 0.02708579836151634

number False 10 0.06595456006957819 0.129831630925971

number False 11 0.10724006118104043 0.31510934678436503

energy True all -69.51391026898017 36.769916768098525

energy True 0 -37.11000767372827 71.2053216039747

energy True 1 -24.248238814193876 95.27560313739555

energy True 2 109.75004155242543 120.11892991015517

energy True 3 -50.67053791130195 128.02378351516094

energy True 4 -94.76954822528545 158.11055960569726

energy True 5 -215.91486916790095 217.81563048797204

energy True 6 110.56105172271934 102.52176694735627

energy True 7 -112.75588913289765 181.29723051385486

energy True 8 29.167947584683958 259.925835894882

energy True 9 -600.7440411567477 346.7367529532741

energy True 10 -3035.049831819346 1706.7188763211211

energy True 11 -5855.144881127234 4282.80861645431

energy False all -63.85009585410221 39.48689682879913

energy False 0 -75.99747993779476 74.0207707672986

energy False 1 -33.101754520272706 96.68094094863523

energy False 2 101.30815799637901 120.297391903745

energy False 3 -49.57924400755242 128.02568691250482

energy False 4 -167.14696381502768 160.70690941851518

energy False 5 -251.74666513676925 224.08281196384678

energy False 6 -52.11555000649162 106.57169972471402

energy False 7 -162.9668716581346 183.586064450334

energy False 8 -62.542852702440726 260.92026585677854

energy False 9 -311.5099628784688 350.1714106574199

energy False 10 -143.33777800943946 1728.0728243460283

energy False 11 1627.0912661804437 4340.2001219499025
